,Character,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Num_Chunks_Analyzed,Openness_scaled,Conscientiousness_scaled,Extraversion_scaled,Agreeableness_scaled,Neuroticism_scaled,pc1,pc2,pc3,Cluster,Hybrid_SLOAN,Cluster_k2,Cluster_k4,Cluster_k8,Cluster_k9,Cluster_k10,Cluster_k5,Cluster_k6,Cluster_k7
0,Harry Potter,4.251197598,3.208040025,3.392719952,3.53428048,2.583629968,45,-0.990045421,-1.29863416,-0.957200712,-1.121734349,0.786138796,-2.312979505,-0.203559438,0.154787903,1,RLUEN,1,1,1,2,2,1,1,1
1,Hermione Granger,4.266084711,3.226328611,3.392671108,3.536307931,2.578650554,24,-0.739719958,-1.081704835,-0.957928524,-1.08393925,0.702269031,-2.048079778,-0.223218718,-0.05536127,1,RLUEN,1,1,1,2,2,1,1,1
2,Ron Weasley,4.188145529,3.142978603,3.334799853,3.488474607,2.614824306,22,-2.050260265,-2.070357598,-1.820253027,-1.975633034,1.311554342,-4.14621883,-0.411958782,0.237331856,1,RLUEN,1,1,1,2,2,1,1,1
3,Albus Dumbledore,4.360913685,3.35843814,3.519773415,3.627856709,2.459145126,21,0.854820695,0.485307013,0.935989857,0.622684293,-1.310596604,1.862426224,-0.597629444,0.244360779,2,SCoAI,2,3,5,6,6,4,4,5
4,Rubeus Hagrid,4.219483455,3.158740401,3.354983091,3.474621773,2.584393144,12,-1.523315869,-1.883399666,-1.519507851,-2.233873225,0.798993184,-3.585590988,-0.919252527,0.116512882,1,RLUEN,1,1,1,2,2,1,1,1
5,Severus Snape,4.372502736,3.384658234,3.536741223,3.636173759,2.467496804,7,1.04968953,0.796315608,1.188822739,0.777728134,-1.169926797,2.221285028,-0.336524105,0.196180865,2,SCOAI,2,3,5,6,6,4,4,5
6,Horace Slughorn,4.313615322,3.269792829,3.458334957,3.565360478,2.506149428,7,0.059502983,-0.566155767,0.020511387,-0.542350799,-0.518889094,-0.250933738,-0.784626609,0.212462194,3,sCUEi,2,4,8,9,10,5,6,7
7,Minerva McGonagall,4.362657785,3.353655259,3.476056178,3.626534224,2.510399898,6,0.884147579,0.428575062,0.284570695,0.59803094,-0.447297164,1.183249952,0.042964741,-0.298662276,2,scoAI,2,3,5,6,6,4,4,5
8,Remus Lupin,4.343059858,3.333946188,3.5077583,3.622093161,2.503364245,6,0.554610193,0.194796716,0.756955747,0.515242047,-0.565800766,1.154500715,-0.092570165,0.309333576,2,SCoAI,2,3,5,6,6,4,4,5
9,Voldemort,4.406703949,3.418932581,3.566862822,3.664233208,2.464814711,5,1.624779845,1.202859388,1.637656841,1.300803555,-1.215102094,3.12910487,0.004660742,0.128660417,2,SCOAI,2,3,5,6,6,4,4,5
