Character,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Num_Chunks_Analyzed
Aberforth Dumbledore,4.418516635894775,3.4799141883850098,3.5719211101531982,3.6726553440093994,2.5143136978149414,1
Alastor Moody,4.293832421302795,3.2775554060935974,3.441688060760498,3.561165750026703,2.543705999851227,4
Albus Dumbledore,4.360913685389927,3.3584381398700534,3.519773415156773,3.6278567087082636,2.459145125888643,21
Albus Potter,4.331879138946533,3.437729597091675,3.4095263481140137,3.6596415042877197,2.5822501182556152,1
Alecto Carrow,4.400795936584473,3.4918899536132812,3.536647319793701,3.732719659805298,2.5357463359832764,1
All,4.361754417419434,3.469541549682617,3.4164228439331055,3.650839328765869,2.489248752593994,1
Amos Diggory,4.28137731552124,3.4685258865356445,3.563844919204712,3.67179274559021,2.4697813987731934,1
Angelina Johnson,4.273323059082031,3.4635047912597656,3.6276333332061768,3.705183506011963,2.5568654537200928,1
Announcer,4.3325958251953125,3.5818557739257812,3.5159409046173096,3.616387367248535,2.2196617126464844,1
Arabella Figg,4.357364654541016,3.5017542839050293,3.563119649887085,3.724990129470825,2.5633127689361572,1
Aragog,4.512670516967773,3.606480598449707,3.5878679752349854,3.710559129714966,2.366466522216797,1
Argus Filch,4.368576526641846,3.438027262687683,3.4397438764572144,3.5810734033584595,2.4341070652008057,2
Arthur Weasley,4.227669715881348,3.2301878929138184,3.3975067933400473,3.5299922625223794,2.5546934604644775,3
Bane,4.4785356521606445,3.689504623413086,3.6071231365203857,3.6693201065063477,2.2693424224853516,1
Bartemius Crouch,4.42822265625,3.54671311378479,3.5773019790649414,3.688117265701294,2.4175994396209717,1
Bartemius Crouch Junior,4.447022914886475,3.526792526245117,3.524585247039795,3.6690499782562256,2.4463305473327637,1
Basilisk,4.424918174743652,3.545200824737549,3.5960047245025635,3.6513161659240723,2.402362108230591,1
Bathilda Bagshot,4.359189033508301,3.6211800575256348,3.6748404502868652,3.768658399581909,2.4690895080566406,1
Bellatrix Lestrange,4.3813934326171875,3.415907700856527,3.5443058808644614,3.641500473022461,2.474121888478597,3
Bill Weasley,4.386894702911377,3.4025356769561768,3.442277193069458,3.5957367420196533,2.5276033878326416,1
Blaise Zabini,4.347728252410889,3.3999876976013184,3.2902276515960693,3.5308825969696045,2.5144336223602295,1
Bloody Baron,4.367733955383301,3.566453695297241,3.4650256633758545,3.6589901447296143,2.4431211948394775,1
Bogrod,4.432607173919678,3.523589611053467,3.5510177612304688,3.6918675899505615,2.4470648765563965,1
Boy,4.272592544555664,3.380021333694458,3.3892836570739746,3.5987942218780518,2.5101728439331055,1
Boy 2,4.314114570617676,3.33978271484375,3.327178716659546,3.589332103729248,2.5984160900115967,1
Cedric Diggory,4.261463165283203,3.3985648155212402,3.4805078506469727,3.6927685737609863,2.6178646087646484,1
Centaur,4.434704303741455,3.586191177368164,3.5038392543792725,3.6441500186920166,2.36616849899292,1
Charity Burbage,4.44911003112793,3.6019363403320312,3.597919225692749,3.678147077560425,2.4861578941345215,1
Cho Chang,4.356609344482422,3.405163288116455,3.4183785915374756,3.6566951274871826,2.5479578971862793,1
Class,4.359227180480957,3.561713218688965,3.5042724609375,3.6909704208374023,2.4783074855804443,1
Collin Creevey,4.217256546020508,3.280086040496826,3.3431217670440674,3.584821939468384,2.5952606201171875,1
Corban Yaxley,4.398525238037109,3.524491310119629,3.502734899520874,3.705047607421875,2.4545674324035645,1
Cormac McLaggen,4.313042640686035,3.3913323879241943,3.492375135421753,3.6520168781280518,2.562628746032715,1
Cornelius Fudge,4.292258103688558,3.28115185101827,3.4645370642344155,3.594261725743612,2.535122553507487,3
Crowd,4.393530368804932,3.533639669418335,3.5054049491882324,3.6683762073516846,2.4113855361938477,1
Dean Thomas,4.23693323135376,3.285789966583252,3.261190176010132,3.5756614208221436,2.672119617462158,1
Death Eater,4.3362884521484375,3.342561960220337,3.334226369857788,3.5599730014801025,2.527621269226074,1
Diary,4.322885036468506,3.3514351844787598,3.3319969177246094,3.5741994380950928,2.5389294624328613,1
Dilys Derwent,4.306680679321289,3.2635245323181152,3.2526867389678955,3.508659601211548,2.5908632278442383,1
Dobby,4.3331929842631025,3.4077142079671225,3.521023670832316,3.643042882283529,2.523956298828125,3
Dolores Umbridge,4.406270821889241,3.4271575609842935,3.5023577213287354,3.6625355084737143,2.4936055342356362,3
Draco Malfoy,4.251499652862549,3.2206214666366577,3.383103370666504,3.5551100969314575,2.59621262550354,4
Dudley Dursley,4.310125350952148,3.4050159454345703,3.524066686630249,3.750563859939575,2.628835678100586,1
Eldred Worple,4.343815803527832,3.4737050533294678,3.603630304336548,3.648132562637329,2.4817309379577637,1
Elphias Doge,4.4157209396362305,3.514246940612793,3.5811665058135986,3.7259843349456787,2.480681896209717,1
Ernest Macmillan,4.310919284820557,3.5351500511169434,3.6909077167510986,3.7024855613708496,2.5705950260162354,1
Everard,4.376472473144531,3.5405149459838867,3.6029603481292725,3.6838862895965576,2.5119082927703857,1
Fenrir Greyback,4.390887260437012,3.4718236923217773,3.4622089862823486,3.658647298812866,2.57627272605896,1
Filius Flitwick,4.3841962814331055,3.446800708770752,3.4458839893341064,3.6663668155670166,2.519233226776123,1
Firenze,4.432781219482422,3.525742530822754,3.5087709426879883,3.6957099437713623,2.427136182785034,1
Fleur Delacour,4.453461647033691,3.5905075073242188,3.6363446712493896,3.736766815185547,2.4503660202026367,1
Fred Weasley,4.258418321609497,3.2809650897979736,3.4153504371643066,3.57562255859375,2.5992119312286377,2
Gang thug,4.303548336029053,3.3858048915863037,3.38122820854187,3.5751426219940186,2.5692250728607178,1
Garrick Ollivander,4.424948215484619,3.518458366394043,3.5419886112213135,3.6858909130096436,2.4713046550750732,1
Gellert Grindelwald,4.4214253425598145,3.480018138885498,3.627119541168213,3.6407430171966553,2.454601526260376,1
George Weasley,4.258506536483765,3.271054744720459,3.4303925037384033,3.5895845890045166,2.610105514526367,2
Ghost,4.351409912109375,3.462838649749756,3.405038595199585,3.6190106868743896,2.503990650177002,1
Ghosts,4.394510269165039,3.524848461151123,3.5474863052368164,3.671149492263794,2.4662303924560547,1
Gilderoy Lockhart,4.306472301483154,3.3310109774271646,3.4508225123087564,3.5908892154693604,2.503267208735148,3
